Month,RegionName,lower,upper,predicted
2018-10-01,10552,517322.87054680556,617207.5424265446,567265.2064866751
2018-10-01,10543,729639.9452992786,844357.4243884283,786998.6848438535
2018-10-01,10605,757876.4501784223,838718.8861689095,798297.6681736659
2018-10-01,10703,407154.5053029271,459197.57548115693,433176.040392042
2018-10-01,10805,560756.4881793002,692915.0083582648,626835.7482687825
2018-10-01,10603,472704.1860633046,533599.6122847457,503151.89917402517
2018-10-01,10538,1194802.581287438,1352480.3044152013,1273641.4428513197
2018-10-01,10567,372940.1824105321,428792.0385750831,400866.1104928076
2018-10-01,10580,1598583.8997880912,1813532.332767369,1706058.11627773
2018-10-01,10549,693053.949756992,812003.9137553603,752528.9317561762
2018-10-01,10530,590630.3725551441,659141.5309383264,624885.9517467353
2018-10-01,10606,599970.9868675896,656278.4763716029,628124.7316195962
2018-10-01,10520,500659.9247694225,577400.1598228263,539030.0422961244
2018-10-01,10804,702810.4901195214,789745.9094570718,746278.1997882966
2018-10-01,10528,1099280.8471939578,1346472.8610243355,1222876.8541091466
2018-10-01,10803,884736.7917030506,1020254.2676104641,952495.5296567574
2018-10-01,10570,610377.6746063449,695736.9914994554,653057.3330529002
2018-10-01,10707,605526.2117493836,672626.924525109,639076.5681372463
2018-10-01,10522,697461.0193970092,785238.5483729984,741349.7838850038
2018-10-01,10514,851348.3215485909,1012940.4424646688,932144.3820066298
2018-10-01,10589,415737.48327611247,477869.00062958046,446803.24195284647
2018-10-01,10709,660803.740303361,740773.407782586,700788.5740429735
2018-10-01,10536,616279.6349296378,695865.290991441,656072.4629605394
2018-10-01,10604,642891.0062216101,713285.7160342054,678088.3611279078
2018-10-01,10510,716665.5815126887,808128.989301546,762397.2854071173
2018-10-01,10553,281109.6288155547,360741.9360455387,320925.7824305467
2018-10-01,10706,762195.8859466594,883214.3704522399,822705.1281994496
2018-10-01,10523,378473.1316469758,455676.8927804211,417075.0122136985
2018-10-01,10533,838437.8347064764,993032.9459279687,915735.3903172226
